Community,ZIP,Sales,median2017,median2018,Change
Sacramento,95815,27,212500,220000,3.5
Sacramento,95824,17,195000,222000,13.8
Sacramento,95838,42,205000,232000,13.2
North Highlands,95660,38,240000,235000,-2.1
Sacramento,95820,51,235000,269000,14.5
Sacramento,95832,16,255000,273500,7.3
Sacramento,95822,59,269000,273500,1.7
Sacramento,95823,67,256500,277000,8
Pollock Pines,95726,16,300100,280000,-6.7
Rio Linda,95673,16,275000,292500,6.4
Sacramento,95825,13,242500,295000,21.6
Sacramento,95833,34,276500,295000,6.7
Sacramento,95828,39,278000,295000,6.1
Sacramento,95842,23,275000,300000,9.1
Rancho Cordova,95670,48,315000,307000,-2.5
Sacramento,95821,30,329500,315000,-4.4
Sacramento,95827,12,307500,316000,2.8
Citrus Heights,95621,32,306000,316500,3.4
Sacramento,95841,13,292000,320000,9.6
Placerville,95667,27,352000,326000,-7.4
Sacramento,95826,27,315000,329000,4.4
Antelope,95843,61,322500,350000,8.5
Colfax,95713,12,341500,355000,4
Citrus Heights,95610,29,325000,362000,11.4
Sacramento,95829,34,339250,365000,7.6
Galt,95632,29,316000,366000,15.8
Orangevale,95662,44,350000,375750,7.4
Woodland,95695,31,380000,377500,-0.7
Elk Grove,95758,60,382500,377500,-1.3
Roseville,95678,38,384000,378000,-1.6
South Lake Tahoe,96150,54,425000,390000,-8.2
Sacramento,95835,49,375000,398000,6.1
Sacramento,95817,24,317500,398750,25.6
Foresthill,95631,11,397500,399000,0.4
Carmichael,95608,61,372250,399500,7.3
Rocklin,95677,28,440000,405000,-8
Sacramento,95834,20,345750,410000,18.6
Woodland,95776,18,405000,414500,2.3
Rancho Cordova,95742,13,440000,418000,-5
Elk Grove,95624,74,390000,424000,8.7
Sacramento,95864,31,550000,425000,-22.7
West Sacramento,95691,27,390000,429000,10
Auburn,95603,29,407550,440000,8
Lincoln,95648,74,425000,440000,3.5
Sacramento,95831,33,395000,443000,12.2
Shingle Springs,95682,29,404000,444000,9.9
Elk Grove,95757,42,445000,449000,0.9
Roseville,95661,45,499250,450000,-9.9
Fair Oaks,95628,39,417000,455000,9.1
Roseville,95747,97,450000,465000,3.3
Loomis,95650,14,391000,487500,24.7
Rocklin,95765,40,480000,490000,2.1
Sacramento,95816,11,644750,532000,-17.5
Sacramento,95818,22,486250,548500,12.8
Folsom,95630,59,499000,590000,18.2
Sacramento,95819,17,574250,595000,3.6
El Dorado Hills,95762,63,575000,625000,8.7
Davis,95616,12,650100,660750,1.6
Tahoe City,96145,12,637500,673000,5.6
Granite Bay,95746,29,704500,750000,6.5
Truckee,96161,13,1035000,1315500,27.1
